<<<<<<< HEAD
"Saint Lucia",1.42857769442126
"Saint Vincent and the Grenadines",1.86768040485184
"Samoa",0.772673509695312
"Saudi Arabia",2.11170620049284
"Senegal",2.01002269854041
"Serbia",1.9882387026773
"Seychelles",2.49128698086258
"Sierra Leone",1.95475125400887
"Singapore",2.2292501290935
"Slovakia",2.05475508485051
"Slovenia",2.01817363261729
"Solomon Islands",2.60285661010824
"Somalia",2.28618354667226
"South Africa",1.99926613798153
"Spain",2.12534850738549
"Sri Lanka",1.72324815489544
"Sudan",1.95451622985604
"Suriname",2.01286489069932
"Swaziland",2.4391173926885
"Sweden",2.08983975384966
"Switzerland",2.0485159959013
"Syrian Arab Republic",1.91222466122449
"Taiwan",2.14437060424647
"Tajikistan",2.02570401426982
"Thailand",2.18796416471689
"The former Yugoslav Republic of Macedonia",1.9267962710624
"Timor-Leste",2.19333388858741
"Togo",1.77807605136403
"Tonga",0.14019
"Trinidad and Tobago",1.8783654659845
"Tunisia",2.00394853665496
"Turkey",1.87627045092802
"Turkmenistan",1.97952451570643
"Tuvalu",1.12448
"Uganda",1.97518126074551
"Ukraine",1.93866122283967
"United Arab Emirates",2.01835237965896
"United Kingdom",2.06300485096011
"United Republic of Tanzania",1.93781629050618
"United States",1.64646292282608
"Uruguay",2.31569056776485
"Uzbekistan",2.07567949919259
"Vanuatu",0.45656
"Venezuela",1.9670932658105
"Viet Nam",2.30192672015198
"Yemen",2.08449903654381
"Zambia",2.33073270235822
"Zimbabwe",2.30181810170888
=======
"name","mean"
"Afghanistan",2.13943735167934
"Albania",1.79413096400766
"Algeria",2.04795607970634
"Angola",2.26785775929358
"Antigua and Barbuda",0.18846
"Argentina",2.30747443409891
"Armenia",1.70901699125365
"Australia",2.06051436156612
"Austria",2.05366109710684
"Azerbaijan",1.78787984345715
"Bahamas",2.00220022988131
"Bahrain",2.31973484563161
"Bangladesh",2.04195960426584
"Barbados",1.87932031710563
"Belarus",1.95826473603349
"Belgium",2.05748849959265
"Belize",1.87894198620741
"Benin",2.11649442549909
"Bhutan",2.05629404965309
"Bolivia",2.02743466361477
"Bosnia and Herzegovina",1.95652039358044
"Botswana",2.43446037410975
"Brazil",2.07397580058675
"Brunei Darussalam",2.19185984666557
"Bulgaria",1.99520865378165
"Burkina Faso",2.04250660885558
"Burma",2.47354380101181
"Burundi",2.08545497209067
"Cambodia",2.45923527335608
"Cameroon",1.88914432488013
"Canada",1.89939080419135
"Cape Verde",2.05922062862534
"Central African Republic",1.34638857138569
"Chad",0.677626067613467
"Chile",2.00837822556885
"China",2.22071953489497
"Colombia",1.9025752768401
"Comoros",1.31708294132738
"Congo",1.95379692192898
"Costa Rica",1.91460957032271
"Cote d'Ivoire",2.04165519369419
"Croatia",2.02486504163848
"Cuba",1.98982317000731
"Cyprus",1.92474165800376
"Czech Republic",2.08612629734902
"Democratic Republic of the Congo",1.97110113522581
"Denmark",2.01429562698565
"Djibouti",2.01304142032856
"Dominica",0.516482214260988
"Dominican Republic",2.06511934275809
"Ecuador",1.73503415823673
"Egypt",1.96669506232068
"El Salvador",1.92098933789074
"Equatorial Guinea",0.642163383918914
"Eritrea",1.81612418324964
"Estonia",2.01817470618322
"Ethiopia",1.9620257426263
"Faroe Islands",2.04916310153727
"Fiji",2.60502675139503
"Finland",2.1488803891694
"France",2.12339097613091
"French Polynesia",2.13216711079467
"Gabon",2.06943423552456
"Gambia",1.64507022161033
"Georgia",1.7854192235144
"Germany",2.09519203827838
"Ghana",1.59543144659008
"Greece",1.96612797657332
"Grenada",1.86749141449043
"Guatemala",1.9257465685551
"Guinea",2.14063066829612
"Guinea-Bissau",0.982594557194026
"Guyana",1.76601095861694
"Haiti",1.84033746854851
"Honduras",1.89507620974777
"Hong Kong",1.89831724550034
"Hungary",2.03080263932171
"Iceland",2.10873718339961
"India",2.32694261223201
"Indonesia",2.13693246260416
"Iran (Islamic Republic of)",2.25204429650205
"Iraq",1.99640163854196
"Ireland",2.01183413259168
"Israel",1.98328269875905
"Italy",1.99468975221722
"Jamaica",1.85781604209601
"Japan",1.96898252412347
"Jordan",1.99599559574503
"Kazakhstan",1.81039248780148
"Kenya",2.03426630701758
"Kiribati",0.333592053425107
"Korea, Democratic People's Republic of",2.1971051613999
"Korea, Republic of",2.0833908737529
"Kuwait",2.43823057952249
"Kyrgyzstan",1.99700662433614
"Lao People's Democratic Republic",2.36261590945027
"Latvia",1.92998304903682
"Lebanon",1.89531987873988
"Lesotho",1.71894786840271
"Liberia",1.89904199389622
"Libyan Arab Jamahiriya",1.94157301187584
"Lithuania",2.03593887781027
"Luxembourg",2.10442025574911
"Macau",1.58710515970329
"Madagascar",2.19146260297442
"Malawi",2.01556711428
"Malaysia",2.25307742916363
"Maldives",2.02599721732187
"Mali",2.05549094375751
"Malta",1.97590067943459
"Marshall Islands",0.410081822861596
"Mauritania",2.02713184138372
"Mauritius",2.18747617880397
"Mexico",1.89006445217889
"Micronesia, Federated States of",0.37692
"Mongolia",1.49939469226514
"Montenegro",1.9320684310343
"Morocco",2.03124480006542
"Mozambique",2.01681883320987
"Namibia",2.21713774756284
"Nauru",0.765263846153846
"Nepal",2.5387564234309
"Netherlands",2.10175305510689
"New Caledonia",2.55080696928997
"New Zealand",2.49353198480849
"Nicaragua",2.01457945674702
"Niger",2.60649739946797
"Nigeria",1.85902701319132
"Norway",2.18740542025339
"Oman",2.10597737345289
"Pakistan",2.06134707227347
"Palestine",0.803532967665199
"Panama",1.92919823994855
"Papua New Guinea",2.60194513500744
"Paraguay",2.34194748886402
"Peru",1.86085867977554
"Philippines",2.07058527811973
"Poland",2.0823985819639
"Portugal",2.11027803342072
"Qatar",2.18141207858313
"Republic of Moldova",1.98112198752928
"Romania",1.95808324005681
"Russia",2.31739014124191
"Rwanda",2.09387145041979
"Saint Kitts and Nevis",1.30356
"Saint Lucia",1.42857769442126
"Saint Vincent and the Grenadines",1.86768040485184
"Samoa",0.772673509695312
"Saudi Arabia",2.11170620049284
"Senegal",2.01002269854041
"Serbia",1.9882387026773
"Seychelles",2.49128698086258
"Sierra Leone",1.95475125400887
"Singapore",2.2292501290935
"Slovakia",2.05475508485051
"Slovenia",2.01817363261729
"Solomon Islands",2.60285661010824
"Somalia",2.28618354667226
"South Africa",1.99926613798153
"Spain",2.12534850738549
"Sri Lanka",1.72324815489544
"Sudan",1.95451622985604
"Suriname",2.01286489069932
"Swaziland",2.4391173926885
"Sweden",2.08983975384966
"Switzerland",2.0485159959013
"Syrian Arab Republic",1.91222466122449
"Taiwan",2.14437060424647
"Tajikistan",2.02570401426982
"Thailand",2.18796416471689
"The former Yugoslav Republic of Macedonia",1.9267962710624
"Timor-Leste",2.19333388858741
"Togo",1.77807605136403
"Tonga",0.14019
"Trinidad and Tobago",1.8783654659845
"Tunisia",2.00394853665496
"Turkey",1.87627045092802
"Turkmenistan",1.97952451570643
"Tuvalu",1.12448
"Uganda",1.97518126074551
"Ukraine",1.93866122283967
"United Arab Emirates",2.01835237965896
"United Kingdom",2.06300485096011
"United Republic of Tanzania",1.93781629050618
"United States",1.64646292282608
"Uruguay",2.31569056776485
"Uzbekistan",2.07567949919259
"Vanuatu",0.45656
"Venezuela",1.9670932658105
"Viet Nam",2.30192672015198
"Yemen",2.08449903654381
"Zambia",2.33073270235822
"Zimbabwe",2.30181810170888
>>>>>>> 59fea37b9b8e7dc4d01b89ed81fde8fb5b3c8a2d
